job_id,arrival_time,duration,res_0,res_1
10970,1065,1,3,5
10971,1065,1,2,5
10972,1065,1,2,5
10973,1065,2,2,5
10974,1065,4,1,1
10975,1065,1,1,1
10976,1066,1,2,5
10977,1066,1,10,10
10978,1066,1,2,5
10979,1067,1,2,5
10980,1067,1,2,1
10981,1067,5,1,1
10982,1067,5,1,1
10983,1067,1,1,1
10984,1068,1,1,1
10985,1068,1,2,5
10986,1068,7,1,1
10987,1068,1,2,5
10988,1068,1,2,5
10989,1068,5,1,1
10990,1068,1,2,5
10991,1068,1,2,5
10992,1068,1,1,1
10993,1068,1,1,1
10994,1069,10,1,1
10995,1069,1,3,5
10996,1069,2,3,5
10997,1069,1,2,5
10998,1069,2,3,5
10999,1069,1,1,1
11000,1069,1,2,5
11001,1069,1,3,5
11002,1069,2,3,5
11003,1069,1,3,5
11004,1070,4,1,1
11005,1070,15,2,5
11006,1070,1,3,5
11007,1070,3,2,5
11008,1070,1,2,1
11009,1070,1,2,5
11010,1070,1,1,1
11011,1070,1,2,5
11012,1070,1,1,1
11013,1071,1,1,1
11014,1071,1,1,1
11015,1071,9,1,1
11016,1071,1,2,5
11017,1071,2,1,1
11018,1071,3,2,5
11019,1071,1,2,1
11020,1072,1,2,5
11021,1072,1,2,5
11022,1072,1,2,5
11023,1072,1,2,5
11024,1073,1,2,5
11025,1073,1,1,1
11026,1073,2,2,5
11027,1073,1,1,1
11028,1073,1,1,1
11029,1073,4,1,1
11030,1073,1,1,1
11031,1073,4,1,1
11032,1073,6,1,1
11033,1073,1,2,5
11034,1073,1,2,5
11035,1074,1,1,1
11036,1074,1,10,10
11037,1074,1,2,5
11038,1074,1,2,5
11039,1074,1,2,5
11040,1074,1,2,5
11041,1074,1,2,5
11042,1075,1,2,5
11043,1075,15,1,1
11044,1075,4,1,1
11045,1075,3,1,1
11046,1075,1,2,5
11047,1076,1,1,1
11048,1076,1,1,1
11049,1076,1,1,1
11050,1076,1,1,1
11051,1076,1,2,5
11052,1076,1,1,1
11053,1076,1,10,10
11054,1076,1,1,1
11055,1076,1,2,5
11056,1076,2,1,1
11057,1076,1,2,5
11058,1076,1,3,5
11059,1076,1,2,5
11060,1077,1,1,1
11061,1077,1,2,5
11062,1077,1,2,5
11063,1077,1,1,1
11064,1077,1,1,1
11065,1077,1,2,1
11066,1077,15,1,1
11067,1077,1,1,1
11068,1077,1,2,5
11069,1077,1,1,1
11070,1078,15,1,1
11071,1078,1,2,5
11072,1078,1,2,5
11073,1078,1,1,1
11074,1078,1,1,1
11075,1078,1,2,5
11076,1078,1,1,1
11077,1078,1,1,1
11078,1078,1,1,1
11079,1079,1,2,5
11080,1079,1,1,1
11081,1079,2,1,1
11082,1079,1,2,5
11083,1079,1,2,5
11084,1079,1,1,1
11085,1079,1,2,5
11086,1079,1,1,1
11087,1079,15,1,1
11088,1080,1,2,5
11089,1080,2,1,1
11090,1080,15,1,1
11091,1080,1,2,5
11092,1080,15,1,1
11093,1080,15,1,1
11094,1080,1,1,1
11095,1080,1,1,1
11096,1080,1,1,1
11097,1080,1,1,1
11098,1080,1,2,5
11099,1080,3,2,5
11100,1081,15,1,1
11101,1081,1,2,5
11102,1081,2,1,1
11103,1081,15,2,5
11104,1081,1,1,1
11105,1081,1,3,5
11106,1082,1,1,1
11107,1082,1,2,5
11108,1082,1,2,1
11109,1082,1,2,5
11110,1082,2,1,1
11111,1082,1,2,5
11112,1082,2,1,1
11113,1082,1,1,1
11114,1082,1,2,5
11115,1083,2,2,5
11116,1083,1,2,5
11117,1083,1,1,1
11118,1083,1,1,1
11119,1083,1,2,5
11120,1083,11,1,1
11121,1083,1,1,1
11122,1084,10,1,1
11123,1084,1,1,1
11124,1084,1,1,1
11125,1084,1,1,1
11126,1084,1,2,5
11127,1084,1,2,5
11128,1084,9,1,1
11129,1085,1,2,5
11130,1085,1,1,1
11131,1085,1,10,10
11132,1085,3,2,5
11133,1085,1,3,5
11134,1085,1,3,5
11135,1085,1,2,5
11136,1085,1,2,5
11137,1085,1,1,1
11138,1086,1,2,5
11139,1086,1,1,1
11140,1086,2,2,5
11141,1086,1,2,5
11142,1086,1,2,5
11143,1087,1,1,1
11144,1087,1,2,5
11145,1087,1,1,1
11146,1087,1,1,1
11147,1087,3,1,1
11148,1087,1,2,5
11149,1087,1,1,1
11150,1088,1,3,5
11151,1089,1,1,1
11152,1089,1,2,5
11153,1089,1,2,5
11154,1089,1,1,1
11155,1089,1,1,1
11156,1089,1,2,5
11157,1090,1,1,1
11158,1090,1,1,1
11159,1090,1,2,5
11160,1090,1,1,1
11161,1090,1,1,1
11162,1090,1,2,5
11163,1090,1,3,5
11164,1091,1,1,1
11165,1091,1,2,5
11166,1091,1,2,1
11167,1091,1,1,1
11168,1091,1,1,1
11169,1091,1,2,5
11170,1091,1,1,1
11171,1091,1,1,1
11172,1091,1,1,1
11173,1092,2,3,5
